attendance_pct,mid1_avg,mid2_avg,assignment_rate,prev_sgpa,classes_missed_streak,low_att_subjects,failing_subjects,credits,theory_count,lab_count,sgpa,Risk_Status
71.0,0.6968357076505617,0.6954387128037512,0.7,6.05,2,2,2,15,3,2,6.06695039206273,At-Risk
84.0,0.6370867849414408,0.5940807280405854,0.91,9.325,2,1,2,18,4,2,8.804076227279735,Warning
89.0,0.9853844269050346,0.9680895949909732,0.58,7.0,1,0,0,9,2,1,6.3832512080275485,Warning
98.0,0.8131514928204012,0.7753040139192345,0.91,6.475,0,0,1,12,2,2,5.730181289281945,Warning
95.0,0.8622923312638333,0.9353466611942155,0.77,5.75,1,0,1,12,2,2,6.477790409244677,At-Risk
81.0,0.598293152152541,0.6049922961760024,0.61,6.324999999999999,1,1,2,12,2,2,6.728730917806222,Warning
91.0,0.9549606407753695,0.8658163124911515,0.7,5.1,1,0,0,9,2,1,5.046756058409726,At-Risk
82.0,0.7643717364576454,0.682100870662172,0.99,7.925,3,1,1,12,2,2,7.698103757417958,Warning
82.0,0.5985262807032524,0.580655982298007,0.89,9.200000000000001,3,2,2,18,4,2,8.913034996016322,Warning
65.0,0.8711280021792983,0.8326760554049237,0.79,7.75,2,2,1,12,2,2,8.296618553791104,At-Risk
65.0,0.6728291153593768,0.7143682753408088,0.56,6.1,3,2,1,12,2,2,7.05221675408737,At-Risk
81.0,0.7317135123214872,0.8006792313116625,0.71,5.175,4,2,1,18,4,2,4.87230353803623,At-Risk
71.0,0.6440981135783017,0.5918410524659827,0.63,6.075,2,2,1,12,2,2,6.644207760327855,At-Risk
61.0,0.5633359877671101,0.7336344284479761,0.54,7.075,2,4,2,18,4,2,7.089006457679445,At-Risk
89.0,0.6327541083743484,0.7054438199478716,0.77,8.8,1,1,1,12,2,2,8.693785535044768,Safe
61.0,0.6078856235379514,0.6349316352825782,0.94,5.949999999999999,3,4,2,18,4,2,6.702107141414961,At-Risk
84.0,0.9133584439832789,0.9266394160426089,0.84,8.6,1,1,0,12,2,2,8.594917139628611,Warning
82.0,0.6177123666297637,0.4807879869863529,0.62,9.325,2,2,2,18,4,2,9.473182219627317,Warning
99.0,0.7485987962239395,0.8382022698180526,0.79,7.275,0,0,1,9,2,1,7.399136966455723,Warning
79.0,0.5783848149332355,0.6858421948546217,0.97,9.1,2,2,2,18,4,2,8.287200316670274,Warning
63.0,0.7962824384460777,0.7089336221440893,0.86,7.7749999999999995,3,2,1,12,2,2,7.91920557435803,At-Risk
82.0,0.9587111849756732,0.9733495358612436,0.84,8.175,2,1,0,12,2,2,7.893653987779884,Warning
94.0,0.6683764102343962,0.690796960885205,0.98,7.625,0,0,2,15,3,2,6.914423429927189,Safe
100.0,0.9147625906893272,0.9078727071556728,0.9,7.325,0,0,0,18,4,2,7.066431459775619,Warning
77.0,0.6547808637737409,0.6555473661326853,0.57,6.175000000000001,2,1,1,9,2,1,5.912305565181528,At-Risk
73.0,0.9025461294854933,0.9367132339810914,0.67,6.5249999999999995,3,2,1,18,4,2,7.039941269565165,At-Risk
96.0,0.7614503211288849,0.7562855288415375,0.98,6.45,1,0,1,18,4,2,5.918105191948984,Warning
68.0,0.9727849009172836,0.9686778966083316,0.74,7.824999999999999,5,1,0,9,2,1,7.430076280475372,At-Risk
85.0,0.7919680655040598,0.7541709097688298,0.56,5.6000000000000005,2,1,1,18,4,2,5.7176941302740065,At-Risk
76.0,0.7994153125103363,0.8373214991216764,0.73,9.575,3,1,1,9,2,1,8.912103114322875,Warning
62.0,0.64791466938853,0.6762179258851257,0.85,8.6,3,2,1,9,2,1,8.270496620883833,At-Risk
74.0,0.7586139092254468,0.5852434092047245,1.0,7.0,3,2,2,18,4,2,6.167761632333389,At-Risk
71.0,0.9663251387631033,1.0,0.66,5.8,5,3,0,18,4,2,6.260005730002698,At-Risk
87.0,0.678114453552205,0.6942704211600975,0.76,9.399999999999999,2,1,1,12,2,2,9.249318439779906,Safe
98.0,0.7901272456051596,0.7084873781492811,0.94,9.125,0,0,1,12,2,2,9.117041077498879,Safe
71.0,0.8429578175014489,0.9140284598615471,0.68,8.6,5,2,0,15,3,2,9.058005159895545,At-Risk
92.0,0.7464431797502378,0.7934318674714358,0.55,6.35,0,1,1,15,3,2,5.988865558173056,Warning
